"Station
Code",Monitoring Location,State,Temperature Min,Temperature Max,Dissolved Oxygen Min,Dissolved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max,Fecal Streptococci Min,Fecal Streptococci Max
1001,RIVER BEAS AT U/S MANALI,"HIMACHAL
PRADESH",2,24,7.8,9.2,7.2,8.2,68,380,1,2.8,0.32,1.15,2,170,63,540,2,2
4444,"RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT
MANALI","HIMACHAL
PRADESH",2,13,7.8,8.8,6.7,7.8,62,113,1,2.8,0.32,1.08,110,1600,350,1600,2,2
3866,RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,"HIMACHAL
PRADESH",2,13,7.8,9.1,7,7.8,51,113,1,1,0.32,0.97,23,120,110,430,2,2
4445,"RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT
KULLU","HIMACHAL
PRADESH",4,16,7.6,8.4,6.6,7.7,73,170,1,1.6,0.32,0.96,47,150,280,920,2,2
1003,RIVER BEAS D/S AUT,"HIMACHAL
PRADESH",5,16,7.5,8.1,7.2,8.2,61,129,1,1,0.32,0.77,34,280,170,1600,2,2
2603,"RIVER BEAS, D/S PANDOH DAM","HIMACHAL
PRADESH",8,26,8,9.3,7.1,8.2,61,202,1,1,0.32,1.15,41,110,210,920,2,2
1550,"BEAS RIVER, U/S OF MANDI TOWN","HIMACHAL
PRADESH",6,25,7.8,9.2,7.2,8,80,190,1,1,0.32,0.98,23,94,120,430,2,2
2604,RIVER BEAS AT D/S JAISINGHPUR,"HIMACHAL
PRADESH",13,22,8.6,9.4,7.2,8.2,115,362,1,1,1.2,4.83,2,68,110,16000,2,2
3855,"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI","HIMACHAL
PRADESH",14,22,6.8,9.3,7.5,8.5,81,404,1,1.2,0.3,2.53,2,93,39,5400,2,2
1867,"RIVER SUTLEJ BEFORE CONF. WITH RIVER SPITI AT
KHAB","HIMACHAL
PRADESH",7,11.5,9.1,9.4,7.5,8.3,141,534,1,1,0.32,1.49,2,33,9,280,2,2
