transaction_id,invoice_id,branch,city
1,750-67-8428,A,Yangon
2,226-31-3081,C,Naypyitaw
3,631-41-3108,A,Yangon
4,123-19-1176,A,Yangon
5,373-73-7910,A,Yangon
6,699-14-3026,C,Naypyitaw
7,355-53-5943,A,Yangon
8,315-22-5665,C,Naypyitaw
9,665-32-9167,A,Yangon
10,692-92-5582,B,Mandalay
11,351-62-0822,B,Mandalay
12,529-56-3974,B,Mandalay
13,365-64-0515,A,Yangon
14,252-56-2699,A,Yangon
15,829-34-3910,A,Yangon
16,299-46-1805,B,Mandalay
17,656-95-9349,A,Yangon
18,765-26-6951,A,Yangon
19,329-62-1586,A,Yangon
20,319-50-3348,B,Mandalay
21,300-71-4605,C,Naypyitaw
22,371-85-5789,B,Mandalay
23,273-16-6619,B,Mandalay
24,636-48-8204,A,Yangon
25,549-59-1358,A,Yangon
26,227-03-5010,A,Yangon
27,649-29-6775,B,Mandalay
28,189-17-4241,A,Yangon
29,145-94-9061,B,Mandalay
30,848-62-7243,A,Yangon
31,871-79-8483,B,Mandalay
32,149-71-6266,B,Mandalay
33,640-49-2076,B,Mandalay
34,595-11-5460,A,Yangon
35,183-56-6882,C,Naypyitaw
36,232-16-2483,C,Naypyitaw
37,129-29-8530,A,Yangon
38,272-65-1806,A,Yangon
39,333-73-7901,C,Naypyitaw
40,777-82-7220,B,Mandalay
41,280-35-5823,B,Mandalay
42,554-53-8700,C,Naypyitaw
43,354-25-5821,B,Mandalay
44,228-96-1411,C,Naypyitaw
45,617-15-4209,C,Naypyitaw
46,132-32-9879,B,Mandalay
47,370-41-7321,B,Mandalay
48,727-46-3608,B,Mandalay
49,669-54-1719,B,Mandalay
50,574-22-5561,C,Naypyitaw
51,326-78-5178,C,Naypyitaw
52,162-48-8011,A,Yangon
53,616-24-2851,B,Mandalay
54,778-71-5554,C,Naypyitaw
55,242-55-6721,B,Mandalay
56,399-46-5918,C,Naypyitaw
57,106-35-6779,A,Yangon
58,635-40-6220,A,Yangon
59,817-48-8732,A,Yangon
60,120-06-4233,C,Naypyitaw
61,285-68-5083,C,Naypyitaw
62,803-83-5989,C,Naypyitaw
63,347-34-2234,B,Mandalay
64,199-75-8169,A,Yangon
65,853-23-2453,B,Mandalay
66,877-22-3308,A,Yangon
67,838-78-4295,C,Naypyitaw
68,109-28-2512,B,Mandalay
69,232-11-3025,A,Yangon
70,382-03-4532,A,Yangon
71,393-65-2792,C,Naypyitaw
72,796-12-2025,C,Naypyitaw
73,510-95-6347,B,Mandalay
74,841-35-6630,C,Naypyitaw
75,287-21-9091,A,Yangon
76,732-94-0499,C,Naypyitaw
77,263-10-3913,C,Naypyitaw
78,381-20-0914,A,Yangon
79,829-49-1914,C,Naypyitaw
80,756-01-7507,C,Naypyitaw
81,870-72-4431,C,Naypyitaw
82,847-38-7188,B,Mandalay
83,480-63-2856,C,Naypyitaw
84,787-56-0757,C,Naypyitaw
85,360-39-5055,C,Naypyitaw
86,730-50-9884,C,Naypyitaw
87,362-58-8315,C,Naypyitaw
88,633-44-8566,A,Yangon
89,504-35-8843,A,Yangon
90,318-68-5053,B,Mandalay
91,565-80-5980,C,Naypyitaw
92,225-32-0908,C,Naypyitaw
93,873-51-0671,A,Yangon
94,152-08-9985,B,Mandalay
95,512-91-0811,C,Naypyitaw
96,594-34-4444,A,Yangon
97,766-85-7061,B,Mandalay
98,871-39-9221,C,Naypyitaw
99,865-92-6136,A,Yangon
